2025-07-30 23:20:20 - python homograph_gui.py : Suspicious (Clipboard)
2025-07-30 23:21:00 - Number	Offset	Address		Size	Type	String : Suspicious
2025-07-30 23:21:00 - 0	0000004d	0040004d	PE Header	28	A	!This program cannot be run in DOS mode. : Suspicious
2025-07-30 23:21:00 - 1	000000cf	004000cf	PE Header	07	A	-Richvk : Suspicious
2025-07-30 23:21:00 - 2	000001e8	004001e8	PE Header	05	A	.text : Suspicious
2025-07-30 23:21:00 - 3	0000020f	0040020f	PE Header	07	A	`.rdata : Suspicious
2025-07-30 23:21:00 - 4	00000237	00400237	PE Header	06	A	@.data : Suspicious
2025-07-30 23:21:00 - 5	00000260	00400260	PE Header	06	A	.ndata : Suspicious
2025-07-30 23:21:00 - 6	00000288	00400288	PE Header	05	A	.rsrc : Suspicious
2025-07-30 23:21:00 - 7	0000052a	0040112a	Section(0)['.text']	05	A	 s495 : Suspicious
2025-07-30 23:21:00 - 8	0000058a	0040118a	Section(0)['.text']	05	A	9tK; : Suspicious
2025-07-30 23:21:00 - 9	000008b5	004014b5	Section(0)['.text']	05	A	tBj\V : Suspicious
2025-07-30 23:21:00 - 10	000009a7	004015a7	Section(0)['.text']	07	A	v%8t!V : Suspicious
2025-07-30 23:21:00 - 11	00000b28	00401728	Section(0)['.text']	05	A	HtVj : Suspicious
2025-07-30 23:21:00 - 12	00000d7c	0040197c	Section(0)['.text']	05	A	2|; : Suspicious
2025-07-30 23:21:00 - 13	0000130a	00401f0a	Section(0)['.text']	05	A	9x_B : Suspicious
2025-07-30 23:21:00 - 14	000016ed	004022ed	Section(0)['.text']	07	A	SQSSSPW : Suspicious
2025-07-30 23:21:00 - 15	00001794	00402394	Section(0)['.text']	05	A	VQSPW : Suspicious
2025-07-30 23:21:00 - 16	0000181e	0040241e	Section(0)['.text']	05	A	SQVPW : Suspicious
2025-07-30 23:21:00 - 17	00001f80	00402b80	Section(0)['.text']	05	A	9p_B : Suspicious
2025-07-30 23:21:00 - 18	0000220b	00402e0b	Section(0)['.text']	06	A	Instu_ : Suspicious
2025-07-30 23:21:00 - 19	00002214	00402e14	Section(0)['.text']	06	A	softuV : Suspicious
2025-07-30 23:21:00 - 20	0000221d	00402e1d	Section(0)['.text']	06	A	NulluM : Suspicious
2025-07-30 23:21:00 - 21	0000226f	00402e6f	Section(0)['.text']	06	A	Y;5xB : Suspicious
